date,farm_id,weight
1999-11-7,a,100
2019-6-18,Farm 19,1793
2019-4-18,Farm 19,1801
2019-6-13,Farm 33,1822
2019-12-4,Farm 19,1829
2019-7-3,Farm 19,1834
2019-2-10,Farm 19,1842
2019-3-27,Farm 19,1843
2019-2-12,Farm 19,1850
2019-7-14,Farm 19,1858
2019-12-19,Farm 19,1864
2019-4-12,Farm 19,1866
2019-9-9,Farm 19,1869
2019-2-11,Farm 19,1873
2019-5-30,Farm 19,1875
2019-11-11,Farm 19,1876
2019-7-10,Farm 33,1880
2019-4-5,Farm 19,1885
2019-4-9,Farm 19,1886
2019-3-8,Farm 19,1889
2019-7-27,Farm 19,1891
2019-10-2,Farm 19,1891
2019-12-8,Farm 33,1892
2019-11-12,Farm 19,1893
2019-11-26,Farm 66,1895
2019-12-25,Farm 33,1898
2019-8-16,Farm 19,1899
2019-11-8,Farm 19,1899
2019-1-21,Farm 19,1899
2019-5-26,Farm 19,1900
2019-6-19,Farm 19,1900
2019-8-29,Farm 33,1901
2019-2-11,Farm 33,1904
2019-7-21,Farm 19,1905
2019-4-12,Farm 66,1912
2019-11-19,Farm 33,1914
2019-12-22,Farm 19,1914
2019-5-6,Farm 19,1915
2019-1-3,Farm 19,1915
2019-6-28,Farm 19,1916
2019-8-15,Farm 19,1916
2019-9-12,Farm 19,1916
2019-11-16,Farm 33,1916
2019-1-4,Farm 19,1916
2019-5-8,Farm 66,1917
2019-1-23,Farm 19,1917
2019-6-28,Farm 33,1918
2019-6-29,Farm 19,1918
2019-11-24,Farm 19,1918
2019-1-12,Farm 33,1918
2019-8-8,Farm 33,1919
2019-6-18,Farm 66,1920
2019-8-24,Farm 66,1920
2019-10-12,Farm 19,1920
2019-11-13,Farm 19,1920
2019-6-5,Farm 19,1923
2019-6-27,Farm 33,1924
2019-7-11,Farm 19,1924
2019-1-7,Farm 19,1925
2019-9-13,Farm 19,1926
2019-12-23,Farm 33,1926
2019-5-13,Farm 19,1927
2019-6-7,Farm 19,1927
2019-8-27,Farm 19,1927
2019-7-11,Farm 33,1928
2019-8-4,Farm 33,1928
2019-7-24,Farm 66,1929
2019-9-18,Farm 33,1929
2019-5-1,Farm 33,1930
2019-3-6,Farm 19,1931
2019-4-2,Farm 19,1931
2019-4-8,Farm 19,1933
2019-7-29,Farm 19,1934
2019-11-27,Farm 19,1934
2019-1-11,Farm 19,1934
2019-2-23,Farm 84,1935
2019-9-20,Farm 19,1935
2019-1-2,Farm 33,1936
2019-8-9,Farm 19,1938
2019-7-19,Farm 33,1940
2019-11-1,Farm 19,1940
2019-10-18,Farm 19,1941
2019-12-26,Farm 33,1941
2019-2-26,Farm 19,1942
2019-6-13,Farm 19,1942
2019-7-31,Farm 19,1942
2019-1-2,Farm 19,1942
2019-1-16,Farm 19,1942
2019-6-30,Farm 19,1943
2019-8-8,Farm 66,1943
2019-9-24,Farm 19,1943
2019-12-31,Farm 19,1943
2019-3-3,Farm 19,1946
2019-3-11,Farm 19,1946
2019-8-10,Farm 33,1946
2019-5-16,Farm 66,1948
2019-1-17,Farm 19,1948
2019-7-8,Farm 33,1949
2019-1-27,Farm 19,1949
2019-2-27,Farm 19,1950
2019-11-8,Farm 33,1951
2019-4-22,Farm 19,1953
2019-6-28,Farm 66,1953
2019-4-28,Farm 33,1954
2019-8-5,Farm 19,1954
2019-10-25,Farm 33,1954
2019-1-8,Farm 33,1954
2019-6-24,Farm 19,1955
2019-7-6,Farm 33,1955
2019-10-24,Farm 66,1956
2019-5-2,Farm 19,1957
2019-5-8,Farm 19,1957
2019-7-28,Farm 19,1957
2019-8-19,Farm 19,1957
2019-3-2,Farm 33,1958
2019-7-1,Farm 19,1958
2019-3-7,Farm 19,1959
2019-10-17,Farm 33,1959
2019-12-25,Farm 19,1959
2019-3-21,Farm 33,1960
2019-5-31,Farm 19,1960
2019-8-10,Farm 19,1960
2019-9-26,Farm 19,1960
2019-12-7,Farm 19,1960
2019-5-3,Farm 33,1961
2019-9-8,Farm 19,1961
2019-2-18,Farm 19,1962
2019-5-19,Farm 33,1962
2019-3-5,Farm 19,1963
2019-8-23,Farm 19,1963
2019-11-7,Farm 33,1964
2019-3-23,Farm 19,1965
2019-6-23,Farm 19,1966
2019-12-14,Farm 33,1966
2019-11-14,Farm 19,1967
2019-2-20,Farm 66,1968
2019-10-31,Farm 19,1968
2019-12-9,Farm 19,1968
2019-2-19,Farm 33,1970
2019-11-3,Farm 19,1970
2019-5-22,Farm 33,1971
2019-8-7,Farm 33,1971
2019-8-25,Farm 19,1971
2019-12-14,Farm 19,1972
2019-1-2,Farm 66,1972
2019-7-24,Farm 19,1973
2019-8-26,Farm 66,1973
2019-8-28,Farm 33,1973
2019-3-7,Farm 33,1974
2019-6-14,Farm 66,1974
